"ENTREZ_GENE_ID","Original ID","Value","Gene Name","Species"
"397","ENSG00000111348","","Rho GDP dissociation inhibitor beta(ARHGDIB)","Homo sapiens"
"398","ENSG00000242173","","Rho GDP dissociation inhibitor gamma(ARHGDIG)","Homo sapiens"
"399","ENSG00000168421","","ras homolog family member H(RHOH)","Homo sapiens"
"400","ENSG00000120805","","ARF like GTPase 1(ARL1)","Homo sapiens"
"401","ENSG00000165462","","paired like homeobox 2A(PHOX2A)","Homo sapiens"
"402","ENSG00000213465","","ARF like GTPase 2(ARL2)","Homo sapiens"
"403","ENSG00000138175","","ARF like GTPase 3(ARL3)","Homo sapiens"
"405","ENSG00000143437","","aryl hydrocarbon receptor nuclear translocator(ARNT)","Homo sapiens"
"406","ENSG00000133794","","basic helix-loop-helix ARNT like 1(BMAL1)","Homo sapiens"
"407","ENSG00000120500","","arrestin 3(ARR3)","Homo sapiens"
"408","ENSG00000137486","","arrestin beta 1(ARRB1)","Homo sapiens"
"409","ENSG00000141480","","arrestin beta 2(ARRB2)","Homo sapiens"
"410","ENSG00000100299","","arylsulfatase A(ARSA)","Homo sapiens"
"411","ENSG00000113273","","arylsulfatase B(ARSB)","Homo sapiens"
"412","ENSG00000101846","","steroid sulfatase(STS)","Homo sapiens"
"414","ENSG00000006756","","arylsulfatase D(ARSD)","Homo sapiens"
"415","ENSG00000157399","","arylsulfatase L(ARSL)","Homo sapiens"
"416","ENSG00000062096","","arylsulfatase F(ARSF)","Homo sapiens"
"417","ENSG00000129744","","ADP-ribosyltransferase 1(ART1)","Homo sapiens"
"419","ENSG00000156219","","ADP-ribosyltransferase 3 (inactive)(ART3)","Homo sapiens"
"420","ENSG00000111339","","ADP-ribosyltransferase 4 (inactive) (Dombrock blood group)(ART4)","Homo sapiens"
"421","ENSG00000099889","","ARVCF delta catenin family member(ARVCF)","Homo sapiens"
"427","ENSG00000104763","","N-acylsphingosine amidohydrolase 1(ASAH1)","Homo sapiens"
"429","ENSG00000139352","","achaete-scute family bHLH transcription factor 1(ASCL1)","Homo sapiens"
"430","ENSG00000183734","","achaete-scute family bHLH transcription factor 2(ASCL2)","Homo sapiens"
"432","ENSG00000141505","","asialoglycoprotein receptor 1(ASGR1)","Homo sapiens"
"433","ENSG00000161944","","asialoglycoprotein receptor 2(ASGR2)","Homo sapiens"
"434","ENSG00000101440","","agouti signaling protein(ASIP)","Homo sapiens"
"435","ENSG00000126522","","argininosuccinate lyase(ASL)","Homo sapiens"
"438","ENSG00000196433","","acetylserotonin O-methyltransferase(ASMT)","Homo sapiens"
