gene_id	Ensamble	gene_name	BPH-1-1	BPH-1-2	BPH-1-3	BPH-1-4	DU145-1	DU145-2	DU145-3	DU145-4	PC3-1	PC3-2	PC3-3	PC3-4
342618	ENSG00000236320	SLFN14	0	0	0	0	0	0	0	0	0	0	0	0
644591	ENSG00000236334	PPIAL4G	0	0	0	0.033229066	0	0	0	0	0.020018934	0.018922132	0.018687448	0.020019897
100008586	ENSG00000236362	GAGE12F	0	0	0	0	0	0	0	0	0	0	0	0
728096	ENSG00000236371	CT47A1	0	0	0	0	0	0	0	0	0	0	0	0.059935345
100874261	ENSG00000236383	CCDC200	0	0.037116936	0.009125176	0.009074453	0.026226157	0.034739078	0.045894822	0.063344357	0	0	0	0
646000	ENSG00000236396	SLC35G4	0	0	0	0	0	0	0	0	0	0	0	0
259285	ENSG00000236398	TAS2R39	0	0	0	0	0	0	0	0	0	0	0	0
100289087	ENSG00000236424	TSPY10	0	0	0	0	0	0	0	0	0	0	0	0
171222	ENSG00000236444	UBE2L5	0.175710836	0.129103032	0.06347167	0.094694304	0.030398135	0.075503164	0.063845802	0.073433689	0.076071668	0.053895699	0.071029423	0.095088018
643311	ENSG00000236446	CT47B1	0	0	0	0	0	0	0	0	0	0	0	0
102723971	ENSG00000236543	AL354761.1	0	0	0	0	0	0	0	0	0	0	0	0
54753	ENSG00000236609	ZNF853	0.100882163	0.101919092	0.050109213	0.099678214	0.031998037	0.031793867	0.100809161	0.01933444	0.100089185	0.075649541	0.074767814	0.080058827
3441	ENSG00000236637	IFNA4	0	0	0	0	0	0	0.066261236	0	0	0	0	0
54848	ENSG00000236699	ARHGEF38	0	0	0	0.007156573	0	0	0.007238996	0.016652188	0.034500779	0.016301104	0	0
	ENSG00000236737	GAGE12B	0	0	0	0	0	0	0	0	0	0	0	0
