"ENTREZ_GENE_ID","Original ID","Value","Gene Name","Species"
"481","ATP1B1","","ATPase Na+/K+ transporting subunit beta 1(ATP1B1)","Homo sapiens"
"482","ATP1B2","","ATPase Na+/K+ transporting subunit beta 2(ATP1B2)","Homo sapiens"
"483","ATP1B3","","ATPase Na+/K+ transporting subunit beta 3(ATP1B3)","Homo sapiens"
"486","FXYD2","","FXYD domain containing ion transport regulator 2(FXYD2)","Homo sapiens"
"487","ATP2A1","","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1(ATP2A1)","Homo sapiens"
"488","ATP2A2","","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2(ATP2A2)","Homo sapiens"
"489","ATP2A3","","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3(ATP2A3)","Homo sapiens"
"490","ATP2B1","","ATPase plasma membrane Ca2+ transporting 1(ATP2B1)","Homo sapiens"
"491","ATP2B2","","ATPase plasma membrane Ca2+ transporting 2(ATP2B2)","Homo sapiens"
"492","ATP2B3","","ATPase plasma membrane Ca2+ transporting 3(ATP2B3)","Homo sapiens"
"493","ATP2B4","","ATPase plasma membrane Ca2+ transporting 4(ATP2B4)","Homo sapiens"
"495","ATP4A","","ATPase H+/K+ transporting subunit alpha(ATP4A)","Homo sapiens"
"496","ATP4B","","ATPase H+/K+ transporting subunit beta(ATP4B)","Homo sapiens"
"501","ALDH7A1","","aldehyde dehydrogenase 7 family member A1(ALDH7A1)","Homo sapiens"
"523","ATP6V1A","","ATPase H+ transporting V1 subunit A(ATP6V1A)","Homo sapiens"
"525","ATP6V1B1","","ATPase H+ transporting V1 subunit B1(ATP6V1B1)","Homo sapiens"
